loss,mean_absolute_error,val_loss,val_mean_absolute_error,lr
94.783798,2.59503,63.677692,2.134028,0.1
58.417274,2.430327,172.244873,7.647875,0.1
57.662533,2.413806,40.308449,2.181093,0.1
60.50721,2.487747,57.00531,2.560325,0.1
50.435379,2.629147,36.455696,2.318008,0.1
50.505535,2.538543,79.826988,2.127682,0.1
47.709358,2.443673,89.303764,2.197965,0.1
44.990669,2.426085,25.380024,1.900561,0.1
47.619228,2.470116,60.736584,2.255536,0.1
44.143932,2.509542,24.686153,1.88077,0.1
41.780949,2.434981,22.775858,1.905487,0.1
39.384296,2.401804,32.73027,2.258207,0.1
39.520428,2.419868,26.757193,1.963259,0.1
40.238338,2.420536,31.735546,1.923077,0.1
39.216808,2.468717,27.838974,2.202693,0.1
39.841328,2.504368,45.466423,2.080351,0.1
33.634151,2.433696,28.803621,2.071806,0.02
29.140871,2.290926,22.496101,1.984447,0.02
27.988981,2.274863,25.878695,2.569354,0.02
29.015272,2.334025,18.508717,1.844782,0.02
28.267405,2.347439,26.006847,2.014637,0.02
31.179564,2.491248,27.039534,2.248149,0.02
30.857445,2.46739,20.811832,1.919532,0.02
29.425585,2.328032,19.720646,1.881686,0.02
29.170921,2.368701,21.706928,2.057803,0.02
27.643597,2.320231,17.994141,1.856362,0.004
27.377308,2.321221,18.312874,1.855923,0.004
27.690659,2.306596,18.744789,1.871112,0.004
27.229715,2.309307,18.390703,1.857546,0.004
29.037466,2.40994,19.446671,1.895052,0.004
27.577053,2.31266,19.916,1.89863,0.004
27.740314,2.317464,19.325731,1.88032,0.001
27.716898,2.322454,20.695751,1.923831,0.001
27.339561,2.302115,18.493195,1.859467,0.001
27.410046,2.314325,19.287235,1.892568,0.001
27.563936,2.321714,19.331612,1.889851,0.001
